,source,target,weight,BinaryWeight
327,95,16,5,1
328,101,95,1,1
329,95,101,1,1
330,57,95,3,1
331,1,2,8,1
332,95,104,1,1
333,104,95,1,1
334,81,104,1,1
335,0,81,1,1
336,81,0,1,1
337,104,81,1,1
338,81,55,2,1
339,1,104,1,1
340,104,1,1,1
341,81,105,1,1
342,105,81,1,1
343,54,95,1,1
344,81,97,1,1
345,97,81,1,1
346,95,106,1,1
347,106,95,1,1
348,0,107,1,1
349,107,0,1,1
350,108,1,1,1
351,42,109,1,1
352,30,110,1,1
353,110,30,1,1
354,17,84,4,1
355,16,95,2,1
356,66,60,2,1
357,57,111,1,1
358,111,112,1,1
359,112,111,1,1
360,95,54,1,1
361,1,81,1,1
362,81,1,1,1
363,81,106,1,1
364,106,81,1,1
365,30,109,1,1
366,109,30,1,1
367,95,113,1,1
368,75,114,2,1
369,60,66,3,1
370,113,115,1,1
371,115,113,2,1
372,113,54,1,1
373,81,116,1,1
374,95,117,4,1
375,117,95,4,1
376,95,84,3,1
377,84,95,3,1
378,116,81,1,1
379,30,118,1,1
380,118,30,1,1
381,111,95,1,1
382,95,111,1,1
383,84,119,1,1
384,119,84,2,1
385,40,6,3,1
386,6,40,3,1
387,30,95,1,1
388,114,75,2,1
389,95,30,1,1
390,85,0,2,1
391,0,85,2,1
392,0,82,2,1
393,42,121,1,1
394,121,42,1,1
395,85,111,1,1
396,111,85,1,1
397,85,108,1,1
398,57,108,1,1
399,108,57,1,1
400,90,57,1,1
401,95,57,3,1
402,108,85,1,1
403,85,16,1,1
404,6,122,3,1
405,122,6,3,1
406,16,85,1,1
407,95,75,1,1
408,75,95,1,1
409,95,118,2,1
410,118,95,2,1
411,0,6,9,1
412,6,0,7,1
413,95,123,1,1
414,123,95,1,1
415,30,124,1,1
416,124,30,1,1
417,30,123,1,1
418,123,30,1,1
419,1,111,1,1
420,111,1,1,1
421,54,30,2,1
422,105,60,1,1
423,105,59,1,1
424,59,105,1,1
425,0,126,1,1
426,126,0,1,1
427,113,127,1,1
428,127,113,1,1
429,1,127,1,1
430,127,1,1,1
431,81,75,1,1
432,30,128,1,1
433,128,30,1,1
434,30,129,1,1
435,129,30,1,1
436,95,130,2,1
437,130,95,2,1
438,60,111,1,1
439,104,131,1,1
440,131,104,1,1
441,32,132,2,1
442,132,32,2,1
443,45,127,1,1
444,127,45,1,1
445,84,127,1,1
446,127,84,1,1
447,42,75,2,1
448,42,133,1,1
449,45,2,1,1
450,84,134,2,1
451,134,84,1,1
452,30,135,1,1
453,133,42,1,1
454,127,117,2,1
455,117,127,2,1
456,136,6,2,1
457,32,137,3,1
458,122,106,1,1
459,106,122,1,1
460,6,127,1,1
461,122,138,1,1
462,138,122,1,1
463,111,93,1,1
464,93,111,1,1
465,106,139,1,1
466,139,106,1,1
467,54,0,2,1
468,54,140,1,1
469,140,54,1,1
470,54,44,2,1
471,44,54,2,1
472,105,134,1,1
473,111,134,1,1
474,134,111,1,1
475,134,105,1,1
476,127,141,1,1
477,141,127,1,1
478,135,30,1,1
479,111,60,3,1
480,106,105,1,1
481,105,106,1,1
482,42,110,2,1
483,110,42,2,1
484,1,117,1,1
485,117,1,1,1
486,0,14,6,1
487,95,142,1,1
488,142,95,1,1
489,98,142,1,1
490,142,98,1,1
491,95,120,1,1
492,120,95,1,1
493,98,105,1,1
494,105,98,1,1
495,110,143,1,1
496,143,110,1,1
497,106,142,1,1
498,142,106,1,1
499,142,144,2,1
500,144,142,2,1
501,105,144,1,1
502,144,105,1,1
503,104,45,1,1
504,45,104,1,1
505,145,6,2,1
506,6,145,2,1
507,59,6,1,1
508,6,57,1,1
509,57,6,1,1
510,109,140,1,1
511,140,109,1,1
512,6,146,1,1
513,146,6,1,1
514,137,32,1,1
515,144,147,1,1
516,147,144,1,1
517,98,148,1,1
518,148,98,1,1
519,24,6,2,1
520,6,24,2,1
521,57,106,3,1
522,6,149,1,1
523,149,6,1,1
524,75,150,2,1
525,150,75,2,1
526,75,151,1,1
527,151,75,1,1
528,75,81,2,1
529,75,152,1,1
530,152,75,1,1
531,75,84,1,1
532,84,75,1,1
533,5,134,3,1
534,81,6,1,1
535,75,132,1,1
536,132,75,1,1
537,105,153,1,1
538,153,105,1,1
539,42,120,2,1
540,120,42,2,1
541,1,0,8,1
542,41,18,2,1
543,42,139,2,1
544,6,26,2,1
545,42,154,1,1
546,154,42,1,1
547,42,155,1,1
548,155,139,1,1
549,155,42,1,1
550,139,155,1,1
551,6,156,1,1
552,156,6,1,1
553,21,42,2,1
554,44,157,1,1
555,157,44,1,1
556,42,21,2,1
557,42,152,4,1
558,6,117,1,1
559,117,6,1,1
560,42,159,1,1
561,42,160,1,1
562,160,42,1,1
563,6,161,2,1
564,161,6,2,1
565,95,159,2,1
566,159,95,1,1
567,26,6,2,1
568,155,162,1,1
569,162,155,1,1
570,72,163,1,1
571,163,72,1,1
572,104,164,1,1
573,164,104,1,1
574,6,165,1,1
575,104,42,1,1
576,6,81,3,1
577,42,166,1,1
578,167,162,1,1
579,162,167,1,1
580,168,6,2,1
581,161,44,1,1
582,42,54,3,1
583,54,42,3,1
584,54,6,3,1
585,42,170,3,1
586,6,171,1,1
587,171,6,1,1
588,104,105,2,1
589,105,104,2,1
590,42,104,1,1
591,6,167,2,1
592,111,170,1,1
593,89,6,5,1
594,6,168,3,1
595,6,69,1,1
596,75,140,-1,-1
597,161,140,-1,-1
598,111,140,-1,-1
599,69,6,2,1
600,40,42,2,1
601,163,172,1,1
602,161,10,1,1
603,10,161,1,1
604,172,163,1,1
605,75,111,1,1
606,111,75,1,1
607,75,42,3,1
608,111,44,1,1
609,128,172,1,1
610,167,6,2,1
611,163,173,1,1
612,173,163,1,1
613,173,170,1,1
614,42,173,4,1
615,173,42,4,1
616,73,97,1,1
617,42,174,2,1
618,174,42,2,1
619,97,73,1,1
620,173,6,1,1
621,173,95,1,1
622,173,21,1,1
623,105,114,1,1
624,114,105,2,1
625,26,81,2,1
626,98,175,1,1
627,105,176,1,1
628,176,105,1,1
629,21,173,1,1
630,6,173,1,1
631,98,113,1,1
632,6,140,-1,-1
633,29,111,4,1
634,111,29,4,1
635,175,177,1,1
636,177,175,1,1
637,135,83,1,1
638,114,163,1,1
639,21,89,2,1
640,42,178,2,1
641,42,179,1,1
642,179,42,1,1
643,170,173,1,1
644,178,42,2,1
645,178,2,5,1
646,98,140,-1,-1
647,137,180,1,1
648,180,137,1,1
649,180,81,1,1
650,137,181,1,1
651,0,184,7,1
652,42,0,7,1
653,42,6,7,1
654,29,1,8,1
655,163,137,1,1
656,137,163,1,1
657,42,185,4,1
658,0,186,1,1
659,186,0,1,1
660,186,170,1,1
661,21,0,4,1
662,21,180,1,1
663,180,21,1,1
664,0,95,1,1
665,0,187,1,1
666,187,0,1,1
667,42,188,1,1
668,186,32,1,1
669,42,175,2,1
670,160,146,1,1
671,146,160,1,1
672,42,190,1,1
673,42,191,1,1
674,191,42,1,1
675,6,192,3,1
676,0,75,1,1
677,75,0,2,1
678,24,0,8,1
679,44,111,1,1
680,21,132,1,1
681,167,193,1,1
682,193,167,1,1
683,192,6,2,1
684,42,169,3,1
685,169,42,3,1
686,167,194,1,1
687,194,167,1,1
688,195,6,5,1
689,183,6,2,1
690,75,163,3,1
691,163,75,3,1
692,163,196,1,1
693,196,163,1,1
694,163,197,1,1
695,197,163,10,1
696,111,198,1,1
697,198,111,1,1
698,29,199,1,1
699,199,45,1,1
700,199,29,1,1
701,163,98,2,1
702,98,163,2,1
703,1,6,5,1
704,1,42,5,1
705,1,44,8,1
706,1,56,2,1
707,6,1,5,1
708,6,29,5,1
709,6,30,5,1
710,6,16,5,1
711,6,52,2,1
712,6,44,6,1
713,169,44,1,1
714,167,200,1,1
715,200,167,2,1
716,44,169,1,1
717,191,201,1,1
718,29,105,2,1
719,105,29,2,1
720,201,191,1,1
721,42,202,6,1
722,202,42,6,1
723,98,1,1,1
724,165,6,1,1
725,0,45,3,1
726,45,0,3,1
727,163,204,1,1
728,204,42,2,1
729,163,40,1,1
730,40,163,1,1
731,125,42,5,1
732,42,125,5,1
733,165,59,1,1
734,40,85,1,1
735,111,59,5,1
736,0,205,1,1
737,201,59,3,1
738,26,206,1,1
739,206,26,1,1
740,0,207,1,1
741,207,0,1,1
742,59,201,3,1
743,59,45,1,1
744,59,165,1,1
745,59,111,5,1
746,59,60,8,1
747,188,42,2,1
748,52,16,1,1
749,26,208,2,1
750,208,26,2,1
751,204,205,2,1
752,205,204,2,1
753,205,210,1,1
754,210,205,1,1
755,42,211,1,1
756,42,210,3,1
757,210,42,3,1
758,6,136,2,1
759,127,167,1,1
760,167,127,1,1
761,42,204,4,1
762,127,119,1,1
763,176,209,1,1
764,209,176,1,1
765,42,203,5,1
766,203,42,6,1
767,42,212,1,1
768,212,42,1,1
769,213,68,1,1
770,105,6,5,1
771,6,105,4,1
772,0,194,1,1
773,194,0,1,1
774,211,205,1,1
775,205,211,1,1
776,42,64,2,1
777,64,42,4,1
778,64,75,3,1
779,75,64,3,1
780,42,215,1,1
781,215,42,1,1
782,21,211,2,1
783,127,6,3,1
784,211,21,2,1
785,211,42,5,1
786,211,0,5,1
787,211,163,5,1
788,0,211,2,1
789,125,124,1,1
790,167,216,1,1
791,216,167,1,1
792,42,217,10,1
793,5,218,1,1
794,218,5,1,1
795,45,180,1,1
796,218,219,1,1
797,219,218,2,1
798,0,220,1,1
799,6,220,4,1
800,0,221,1,1
801,221,0,1,1
802,163,119,1,1
803,216,114,1,1
804,163,200,2,1
805,200,163,2,1
806,204,84,1,1
807,204,85,1,1
808,168,222,1,1
809,222,168,1,1
810,17,223,2,1
811,42,224,4,1
812,42,225,4,1
813,225,42,4,1
814,111,226,1,1
815,226,111,1,1
816,26,227,1,1
817,227,26,1,1
818,163,103,1,1
819,103,163,1,1
820,5,228,3,1
821,226,42,5,1
822,189,176,1,1
823,176,189,1,1
824,103,30,1,1
825,202,103,1,1
826,103,202,1,1
827,176,182,2,1
828,228,5,3,1
829,182,176,2,1
830,182,229,1,1
831,229,182,1,1
832,229,2,1,1
833,30,103,1,1
834,42,229,1,1
835,114,6,1,1
836,209,128,1,1
837,182,132,1,1
838,0,80,1,1
839,163,190,1,1
840,132,182,1,1
841,132,195,2,1
842,195,132,1,1
843,45,6,3,1
844,138,0,4,1
845,42,56,4,1
846,111,18,10,1
847,0,231,1,1
848,231,0,1,1
849,182,232,1,1
850,232,182,1,1
851,163,114,4,1
852,42,221,2,1
853,221,42,2,1
854,42,233,2,1
855,17,191,1,1
856,6,203,4,1
857,190,163,2,1
858,106,57,5,1
859,106,114,1,1
860,229,6,1,1
861,6,229,1,1
862,0,234,1,1
863,234,0,1,1
864,103,0,2,1
865,0,103,1,1
866,103,233,1,1
867,103,235,1,1
868,42,236,3,1
869,236,42,3,1
870,103,216,1,1
871,230,237,1,1
872,216,103,1,1
873,237,230,1,1
874,163,92,1,1
875,128,209,1,1
876,235,103,1,1
877,182,163,4,1
878,163,182,4,1
879,182,45,1,1
880,167,182,1,1
881,182,167,1,1
882,233,42,3,1
883,42,239,2,1
884,180,45,5,1
885,180,80,1,1
886,180,16,5,1
887,239,42,8,1
888,163,238,3,1
889,238,163,3,1
890,167,21,1,1
891,21,167,1,1
892,240,241,1,1
893,167,242,1,1
894,202,234,1,1
895,242,167,1,1
896,243,244,10,1
897,6,200,2,1
898,6,245,1,1
899,163,246,1,1
900,246,163,1,1
901,216,247,1,1
902,247,216,1,1
903,163,248,1,1
904,248,163,1,1
905,217,225,4,1
906,217,202,5,1
907,217,75,5,1
908,217,42,5,1
909,163,97,2,1
910,97,163,1,1
911,28,180,2,1
912,180,28,2,1
913,250,176,1,1
914,176,250,1,1
915,244,243,10,1
916,205,251,1,1
917,251,205,1,1
918,252,163,1,1
919,178,111,1,1
920,111,178,1,1
921,185,217,4,1
922,185,42,5,1
923,185,106,1,1
924,106,185,1,1
925,185,132,1,1
926,132,185,1,1
927,98,253,1,1
928,16,42,5,1
929,160,75,1,1
930,6,254,1,1
931,254,6,1,1
932,253,165,1,1
933,165,253,1,1
934,191,20,1,1
935,234,255,2,1
936,255,234,2,1
937,163,252,1,1
938,209,45,1,1
939,190,73,2,1
940,0,256,1,1
941,45,209,1,1
942,189,257,1,1
943,257,189,1,1
944,3,242,2,1
945,242,3,2,1
946,258,259,1,1
947,259,258,1,1
948,217,21,5,1
949,231,163,1,1
950,163,231,1,1
951,232,6,2,1
952,6,232,2,1
953,28,261,1,1
954,261,28,1,1
955,42,259,2,1
956,259,42,3,1
957,21,262,1,1
958,98,263,1,1
959,263,98,1,1
960,45,261,1,1
961,261,45,1,1
962,175,42,3,1
963,21,264,1,1
964,264,21,1,1
965,6,214,1,1
966,214,6,1,1
967,13,214,1,1
968,6,98,2,1
969,244,16,1,1
970,242,265,1,1
971,265,242,1,1
972,242,266,1,1
973,266,242,1,1
974,42,189,2,1
975,189,42,2,1
976,106,242,1,1
977,242,106,1,1
978,167,267,1,1
979,29,268,2,1
980,267,167,1,1
981,0,141,1,1
982,141,0,1,1
983,195,15,1,1
984,21,159,1,1
985,159,21,1,1
986,159,42,2,1
987,21,234,2,1
988,240,21,1,1
989,234,21,2,1
990,21,240,1,1
991,163,167,3,1
992,167,163,3,1
993,234,165,1,1
994,165,234,1,1
995,165,147,2,1
996,147,165,2,1
997,6,226,2,1
998,42,184,7,1
999,217,239,4,1
1000,11,128,1,1
1001,128,11,1,1
1002,132,269,1,1
1003,269,132,1,1
1004,270,242,1,1
1005,217,234,5,1
1006,20,191,1,1
1007,163,165,2,1
1008,165,163,2,1
1009,16,268,6,1
1010,0,271,1,1
1011,271,0,1,1
1012,0,272,1,1
1013,272,0,1,1
1014,42,272,4,1
1015,272,42,2,1
1016,167,233,2,1
1017,233,167,2,1
1018,264,66,1,1
1019,66,264,1,1
1020,66,44,3,1
1021,272,182,1,1
1022,16,66,8,1
1023,66,16,8,1
1024,6,274,2,1
1025,217,274,4,1
1026,6,209,1,1
1027,274,217,4,1
1028,234,79,1,1
1029,214,13,2,1
1030,30,193,2,1
1031,32,273,1,1
1032,32,275,1,1
1033,42,163,3,1
1034,45,276,1,1
1035,276,45,1,1
1036,276,234,1,1
1037,45,277,1,1
1038,277,45,1,1
1039,32,278,1,1
1040,278,32,1,1
1041,279,244,1,1
1042,55,81,3,1
1043,217,235,4,1
1044,272,44,1,1
1045,44,272,1,1
1046,273,32,10,1
1047,244,279,1,1
1048,280,42,1,1
1049,200,6,4,1
1050,175,182,1,1
1051,182,175,1,1
1052,79,6,1,1
1053,6,79,1,1
1054,163,282,1,1
1055,282,163,1,1
1056,274,6,4,1
1057,209,283,1,1
1058,283,209,1,1
1059,176,284,1,1
1060,6,180,1,1
1061,180,6,2,1
1062,6,188,1,1
1063,188,6,1,1
1064,284,176,1,1
1065,44,264,1,1
1066,264,44,1,1
1067,44,285,1,1
1068,44,163,2,1
1069,163,44,4,1
1070,6,286,1,1
1071,286,6,1,1
1072,44,245,1,1
1073,245,44,1,1
1074,41,6,8,1
1075,281,234,2,1
1076,234,281,2,1
1077,234,287,1,1
1078,287,234,1,1
1079,21,288,1,1
1080,288,21,1,1
1081,282,289,1,1
1082,289,282,1,1
1083,160,180,1,1
1084,273,98,1,1
1085,281,163,3,1
1086,163,281,3,1
1087,199,20,1,1
1088,6,256,4,1
1089,217,294,3,1
1090,217,298,5,1
1091,281,305,1,1
1092,305,281,1,1
1093,305,306,1,1
1094,163,249,2,1
1095,249,163,2,1
1096,21,307,1,1
1097,21,147,1,1
1098,147,21,1,1
1099,256,6,5,1
1100,268,29,4,1
1101,268,16,3,1
1102,268,0,3,1
1103,175,163,1,1
1104,163,175,1,1
1105,73,275,-10,-1
1106,217,228,6,1
1107,209,309,1,1
1108,309,209,5,1
1109,217,243,3,1
1110,300,42,6,1
1111,217,296,3,1
1112,26,211,1,1
1113,211,26,1,1
1114,199,180,1,1
1115,180,199,1,1
1116,226,310,2,1
1117,310,226,2,1
1118,6,3,4,1
1119,42,300,1,1
1120,42,16,1,1
1121,284,165,1,1
1122,306,305,1,1
1123,281,176,1,1
1124,176,281,1,1
1125,44,253,3,1
1126,253,44,3,1
1127,163,6,5,1
1128,163,211,2,1
1129,312,3,1,1
1130,6,163,4,1
1131,313,106,1,1
1132,106,313,1,1
1133,6,314,1,1
1134,314,6,1,1
1135,45,313,1,1
1136,103,245,1,1
1137,310,313,2,1
1138,313,310,2,1
1139,98,315,1,1
1140,315,98,1,1
1141,163,316,1,1
1142,316,163,1,1
1143,270,6,5,1
1144,30,317,2,1
1145,245,103,1,1
1146,284,163,1,1
1147,163,284,1,1
1148,264,0,1,1
1149,313,264,1,1
1150,264,313,1,1
1151,217,319,5,1
1152,217,16,5,1
1153,306,217,1,1
1154,165,284,1,1
1155,42,214,3,1
1156,299,42,3,1
1157,0,101,2,1
1158,101,163,1,1
1159,163,101,1,1
1160,101,0,2,1
1161,180,319,1,1
1162,319,217,3,1
1163,217,204,5,1
1164,319,42,3,1
1165,230,98,1,1
1166,98,230,1,1
1167,28,66,2,1
1168,245,320,3,1
1169,245,6,2,1
1170,6,97,3,1
1171,248,267,1,1
1172,163,3,7,1
1173,284,0,1,1
1174,0,284,1,1
1175,106,326,1,1
1176,209,327,1,1
1177,327,209,1,1
1178,6,328,1,1
1179,328,6,1,1
1180,214,42,3,1
1181,29,258,3,1
1182,258,29,3,1
1183,285,44,2,1
1184,318,6,3,1
1185,318,163,3,1
1186,163,318,3,1
1187,188,253,1,1
1188,209,44,1,1
1189,44,209,1,1
1190,316,330,1,1
1191,330,316,1,1
1192,209,331,1,1
1193,331,209,1,1
1194,316,0,1,1
1195,0,316,1,1
1196,332,217,5,1
1197,30,217,2,1
1198,332,30,1,1
1199,30,332,1,1
1200,253,256,5,1
1201,163,323,3,1
1202,323,163,4,1
1203,217,255,4,1
1204,30,225,1,1
1205,225,30,1,1
1206,6,104,3,1
1207,111,13,2,1
1208,13,111,2,1
1209,13,335,2,1
1210,13,6,4,1
1211,21,44,2,1
1212,44,21,1,1
1213,24,285,1,1
1214,285,24,1,1
1215,299,217,4,1
1216,163,337,1,1
1217,337,163,1,1
1218,24,163,1,1
1219,163,24,1,1
1220,30,162,1,1
1221,334,26,1,1
1222,217,244,4,1
1223,326,306,1,1
1224,306,326,1,1
1225,326,106,1,1
1226,176,338,1,1
1227,338,176,1,1
1228,282,339,1,1
1229,339,282,1,1
1230,332,340,1,1
1231,340,332,1,1
1232,5,180,4,1
1233,180,5,2,1
1234,180,335,2,1
1235,233,103,2,1
1236,245,42,1,1
1237,42,245,1,1
1238,320,245,3,1
1239,269,342,1,1
1240,342,269,1,1
1241,208,343,1,1
1242,343,208,1,1
1243,139,344,1,1
1244,344,139,1,1
1245,332,345,1,1
1246,345,332,1,1
1247,97,6,3,1
1248,346,308,1,1
1249,308,346,1,1
1250,313,346,1,1
1251,346,313,1,1
1252,346,347,1,1
1253,347,346,1,1
1254,343,299,1,1
1255,299,343,1,1
1256,110,348,1,1
1257,340,147,1,1
1258,147,340,1,1
1259,306,132,1,1
1260,105,340,1,1
1261,340,105,1,1
1262,97,349,1,1
1263,349,97,1,1
1264,97,350,1,1
1265,350,97,1,1
1266,350,351,1,1
1267,351,350,1,1
1268,217,352,5,1
1269,3,163,8,1
1270,3,91,2,1
1271,91,3,2,1
1272,290,6,10,1
1273,105,311,1,1
1274,311,105,1,1
1275,353,6,1,1
1276,353,302,1,1
1277,302,353,1,1
1278,6,353,1,1
1279,302,355,10,1
1280,226,193,2,1
1281,56,356,1,1
1282,356,56,1,1
1283,317,226,2,1
1284,209,353,1,1
1285,317,307,2,1
1286,353,209,1,1
1287,217,357,5,1
1288,56,15,3,1
1289,56,268,1,1
1290,6,120,1,1
1291,117,313,1,1
1292,313,117,1,1
1293,306,359,1,1
1294,3,14,6,1
1295,359,306,1,1
1296,307,163,1,1
1297,217,360,5,1
1298,360,217,5,1
1299,41,361,1,1
1300,361,41,1,1
1301,361,362,1,1
1302,132,306,2,1
1303,362,361,1,1
1304,353,347,2,1
1305,347,353,2,1
1306,353,307,1,1
1307,307,353,1,1
1308,59,363,1,1
1309,363,59,1,1
1310,248,364,1,1
1311,364,248,1,1
1312,176,248,1,1
1313,248,176,1,1
1314,361,190,2,1
1315,190,361,2,1
1316,307,365,1,1
1317,365,307,1,1
1318,305,6,1,1
1319,6,305,2,1
1320,195,308,1,1
1321,308,195,1,1
1322,195,366,1,1
1323,366,195,1,1
1324,45,367,1,1
1325,353,368,1,1
1326,368,353,2,1
1327,3,1,6,1
1328,116,6,5,1
1329,6,116,4,1
1330,159,190,5,1
1331,253,6,2,1
1332,313,369,1,1
1333,369,313,1,1
1334,370,159,2,1
1335,370,6,1,1
1336,370,280,3,1
1337,370,162,10,1
1338,272,369,1,1
1339,369,272,1,1
1340,159,290,3,1
1341,290,159,3,1
1342,159,371,1,1
1343,371,159,1,1
1344,217,138,4,1
1345,159,372,1,1
1346,372,159,1,1
1347,159,1,8,1
1348,1,159,5,1
1349,280,370,1,1
1350,258,372,3,1
1351,372,258,3,1
1352,217,374,4,1
1353,217,375,5,1
1354,374,42,5,1
1355,163,307,2,1
1356,0,35,1,1
1357,372,352,1,1
1358,0,344,1,1
