,source,target,weight
483,1585,3664,2
484,1522,1613,1
485,240,462,1
486,2077,3391,2
487,3378,4092,2
488,1512,1532,2
489,196,113,1
490,786,857,3
491,1067,452,1
492,4428,3910,1
493,127,492,1
494,3910,1786,1
495,585,19,2
496,1344,1893,2
497,0,1512,1
498,496,494,5
499,1012,30,3
500,26,3838,1
501,5009,2204,1
502,3473,3459,1
503,4741,1293,1
504,26,2910,1
505,1249,1216,1
506,2592,3098,1
507,1519,1536,1
508,1644,18,10
509,98,1844,1
510,977,4481,1
511,1981,2338,1
512,859,587,1
513,2166,1987,1
514,5527,4092,1
515,2570,2699,1
516,2723,2338,2
517,4092,2511,3
518,84,650,1
519,1907,1341,-10
520,451,494,1
521,5388,1689,2
522,3203,1981,1
523,3680,1970,10
524,1002,726,1
525,977,5632,-10
526,862,861,1
527,459,159,2
528,3521,2338,2
529,2884,1981,4
530,646,815,2
531,1185,1202,2
532,4981,4921,1
533,2537,2077,2
534,2136,163,1
535,2876,5603,1
536,2765,5223,1
537,2159,10,1
538,905,1059,2
539,1160,1800,4
540,1444,1512,1
541,3711,4586,-10
542,3275,4206,5
543,45,264,2
544,4243,3819,1
545,10,1003,6
546,3268,1764,1
547,1938,3,5
548,3710,4596,-10
549,1981,2871,2
550,2587,2884,4
551,201,59,3
552,141,2587,1
553,977,3093,7
554,2077,4896,-1
555,2077,384,1
556,2032,2422,1
557,3646,5639,-2
558,4591,4598,5
559,800,264,1
560,1354,1870,1
561,346,428,1
562,1357,2055,1
563,177,805,1
564,3497,1981,-10
565,145,495,5
566,5273,5327,1
567,26,2284,1
568,1519,1584,1
569,2125,2406,2
570,1870,4746,3
571,3308,585,2
572,1089,1002,1
573,30,1335,2
574,1718,5603,3
575,4039,2077,2
576,44,169,1
577,4593,4594,1
578,2644,2646,3
579,1477,1498,3
580,2128,2347,3
581,414,73,1
582,42,133,1
583,864,1834,1
584,26,2069,1
585,1764,2866,1
586,5,1981,1
587,3968,3838,1
588,4150,4115,1
589,1723,1799,5
590,4045,3819,1
591,3510,3294,3
592,4277,2247,1
593,4937,4940,10
594,2279,2157,1
595,5093,5102,1
596,35,5824,1
597,4515,4316,1
598,209,767,1
599,1037,1040,2
600,3696,4466,1
601,4471,4824,1
602,3910,4089,1
603,4183,3566,3
604,1486,1500,-1
605,875,440,1
606,3955,3963,1
607,4953,26,1
608,3670,4717,1
609,3681,3680,10
610,1513,1698,5
611,2839,2834,1
612,163,4016,1
613,279,629,1
614,1059,987,1
615,4027,4689,3
616,202,2754,-10
617,6,159,3
618,2338,3204,-10
619,2160,2116,2
620,1456,2125,1
621,1568,3294,1
622,3994,4024,1
623,4833,3378,1
624,459,791,1
625,2587,2814,1
626,953,132,1
627,1572,1276,1
628,3232,2023,1
629,1820,1725,5
630,1160,3,8
631,4545,888,1
632,3743,506,1
633,2233,2139,2
634,2587,4741,4
635,701,791,2
636,5860,10,2
637,4524,4115,1
638,1145,1146,1
639,1240,1894,1
640,3643,4314,4
641,1769,4587,-10
642,4604,4896,1
643,2486,2503,1
644,3623,176,2
645,5584,3378,1
646,26,1431,1
647,2077,1231,-1
648,4154,2884,3
649,2592,3823,2
650,3638,2247,1
651,1161,1175,1
652,1842,1160,1
653,234,0,1
654,412,1281,1
655,244,701,1
656,4206,11,1
657,10,30,4
658,26,1811,1
659,80,43,1
660,4092,2153,1
661,478,1316,10
662,1764,977,2
663,3720,2342,1
664,841,165,1
665,4248,3643,1
666,1360,1521,1
667,1921,1293,2
668,4092,141,1
669,177,646,1
670,6,1742,1
671,4230,1113,5
672,30,1994,1
673,3691,506,1
674,4182,4092,5
675,177,611,1
676,2557,2707,1
677,5411,86,1
678,1240,1876,3
679,4009,3566,1
680,2209,1500,1
681,2592,2731,1
682,2945,1176,1
683,2077,5099,-2
684,163,44,4
685,2605,3573,1
686,4642,4199,1
687,2338,3652,1
688,3580,1921,1
689,1354,2913,-9
690,1853,482,1
691,551,1839,1
692,606,188,1
693,881,565,10
694,3659,4036,1
695,2860,2882,1
696,4235,506,1
697,2876,4654,-10
698,1629,3577,2
699,3646,2338,2
700,3668,3711,-10
701,2077,2226,1
702,2809,2592,1
703,5162,5202,7
704,1216,760,5
705,26,4189,1
706,5269,5383,-10
707,3643,2338,2
708,1354,1321,3
709,584,2338,1
710,2020,1901,1
711,1981,3104,1
712,3711,4657,-10
713,1764,2645,-10
714,2091,2070,1
715,3053,2587,1
716,2328,5040,1
717,4798,4413,3
718,1284,1303,1
719,2354,2699,1
720,370,6,1
721,3659,3699,1
722,26,1287,1
723,1293,2117,1
724,1240,1176,1
725,1204,1708,1
726,2380,4206,1
727,821,828,1
728,2839,2545,1
729,4746,26,2
730,1009,80,1
731,2083,1804,1
732,4634,5603,1
733,4792,4502,3
734,2884,4115,2
735,623,1585,1
736,1921,2020,1
737,3377,2605,1
738,26,2142,1
739,2413,1853,1
740,1522,1644,3
741,2002,2672,2
742,1916,17,1
743,4198,3643,3
744,26,4033,1
745,163,744,1
746,1907,3135,1
747,3499,4115,2
748,4589,4591,1
749,2500,506,1
750,2635,2492,-10
751,977,1576,1
752,195,893,1
753,2247,4364,-7
754,623,313,1
755,1226,1287,10
756,313,1981,1
757,4171,3623,5
758,4206,3555,2
759,2819,1496,-1
760,2077,4585,-10
761,393,396,1
762,3154,2130,3
763,1483,1321,1
764,3244,2185,1
765,1925,1764,1
766,2602,0,6
767,864,2829,-10
768,1011,5866,5
769,1585,1875,1
770,3589,2077,1
771,4409,3691,1
772,791,807,3
773,240,26,1
774,1277,3736,2
775,4588,1764,-10
776,3659,3976,1
777,1293,1541,2
778,5757,4444,1
779,1341,1328,1
780,2247,506,1
781,3738,4212,2
782,749,284,1
783,1541,1469,2
784,1626,1354,1
785,1201,1200,1
786,2587,2677,1
787,2247,2417,1
788,1477,1276,2
789,2587,3754,-1
790,2790,1853,2
791,84,132,1
792,4268,4092,1
793,3204,1485,1
794,2125,467,4
795,2700,2580,1
796,45,1098,-10
797,3579,5512,2
798,2347,5433,1
799,1513,1144,3
800,2016,3910,2
801,3904,1685,1
802,4368,745,-10
803,2587,2446,5
804,2338,41,2
805,2672,1585,1
806,4933,4921,1
807,844,812,2
808,10,646,1
809,5032,3743,1
810,1981,2931,1
811,754,98,1
812,2442,216,1
813,1051,1065,1
814,2953,2847,1
815,5617,3910,-10
816,1521,2125,1
817,1513,1690,4
818,5413,2876,1
819,21,0,4
820,4372,4589,-10
821,460,4732,10
822,29,268,2
823,5145,5142,-10
824,2592,3345,1
825,1875,2005,1
826,1797,1627,1
827,900,17,5
828,5388,3564,3
829,26,2734,1
830,3437,3743,10
831,1004,1043,5
832,44,163,2
833,1456,4092,2
834,42,83,4
835,4506,2884,1
836,5158,864,1
837,2535,2247,1
838,3626,2587,1
839,2839,3009,1
840,2803,2896,1
841,2077,5292,-1
842,2237,2218,2
843,2146,2275,2
844,1160,4212,3
845,4195,3802,1
846,1804,264,1
847,3573,1410,3
848,163,4392,2
849,4560,4437,1
850,1643,18,10
851,4619,4206,1
852,6,26,2
853,1023,1235,2
854,1698,1844,2
855,4430,4633,1
856,5433,321,3
857,1344,139,1
858,1764,4654,-10
859,1981,2695,5
860,165,44,5
861,890,797,6
862,4521,5378,1
863,4092,4369,1
864,3729,26,1
865,1032,170,7
866,2016,2527,-10
867,1764,3819,8
868,2884,2958,1
869,1918,1920,1
870,3717,4585,-10
871,21,211,2
872,644,636,1
873,4115,4352,-10
874,4845,3100,1
875,5317,4206,1
876,1344,2666,-10
877,3062,4204,1
878,3204,2587,2
879,10,1354,3
880,4212,2077,3
881,1344,500,2
882,3826,4092,1
883,230,1163,1
884,406,2033,2
885,2077,5267,-2
886,153,1310,1
887,1344,128,3
888,896,1844,1
889,4734,4521,1
890,594,41,1
891,264,1859,5
892,5406,26,1
893,2247,3363,-3
894,2418,26,5
895,5269,5395,-10
896,124,436,1
897,321,2020,1
898,3646,5427,1
899,1311,1435,3
900,1275,1568,1
901,98,3825,-1
902,1643,2016,1
903,4653,4661,-10
904,2273,3248,1
905,44,21,1
906,2125,1998,1
907,2455,1144,10
908,6,840,2
909,5550,1907,9
910,3503,4502,-10
911,3924,2327,2
912,2592,2674,4
913,3426,3579,10
914,2007,163,2
915,2689,2693,3
916,1830,1987,1
917,2752,1981,1
918,3577,3731,2
919,2214,2882,1
920,1608,1609,1
921,3378,1293,1
922,2264,26,2
923,1321,3668,-10
924,30,2405,1
925,587,1335,3
926,865,198,1
927,4400,441,1
928,3170,3175,2
929,506,1804,1
930,3819,4337,1
931,1876,1240,3
932,2535,2328,1
933,2884,4348,1
934,1354,1742,1
935,3681,1764,-10
936,2658,2150,1
937,4372,4658,-10
938,24,0,8
939,4196,4039,5
940,2433,3225,1
941,26,1482,1
942,1594,1764,5
943,1787,1706,1
944,1310,1485,3
945,1069,1170,-10
946,2876,3958,3
947,3914,3523,2
948,2262,1160,10
949,4656,2884,1
950,26,5118,1
951,800,2077,1
952,1585,1732,2
953,1485,2269,1
954,659,711,1
955,1354,1726,1
956,977,978,1
957,1764,3284,1
958,3736,2587,1
959,3958,4569,1
960,6,385,3
961,3910,2020,1
962,747,593,1
963,2077,1277,1
964,2126,2150,2
965,1326,1365,3
966,2425,2347,2
967,50,69,1
968,1,717,1
969,3378,3572,1
970,5452,5425,10
971,4092,533,-10
972,3825,323,1
973,1344,2181,-2
974,1521,302,2
975,2959,3503,1
976,902,793,2
977,1521,1690,1
978,2602,1277,3
979,4364,3772,1
980,2580,3241,3
981,5413,5654,1
982,3275,3659,1
983,1786,2942,1
984,3150,2587,5
985,1764,4652,-10
986,376,669,2
987,2077,4651,-10
988,3659,4138,1
989,1953,1639,3
990,2279,2160,-7
991,4092,2020,4
992,1121,1208,1
993,26,2173,1
994,880,1269,2
995,1981,2387,1
996,4115,30,2
997,217,211,5
998,3554,3659,2
999,3623,4205,4
1000,321,4807,1
1001,1705,1708,1
1002,4092,3555,7
1003,1053,1251,2
1004,1685,1655,1
1005,29,184,8
1006,1293,3659,2
1007,5593,26,1
1008,3150,2839,1
1009,26,5480,1
1010,3590,3378,1
1011,483,593,2
1012,3646,5514,2
1013,205,210,1
1014,2077,5107,-10
1015,4697,2380,1
1016,2978,2843,1
1017,2686,30,1
1018,4936,1786,1
1019,30,3369,1
1020,3623,3593,1
1021,5134,2675,2
1022,1241,841,1
1023,506,1293,1
1024,26,4516,1
1025,4072,1176,2
1026,1764,4714,-10
1027,69,5738,1
1028,4182,4203,2
1029,1541,1559,1
1030,4921,3378,2
1031,2020,3711,-10
1032,1756,4116,1
1033,2884,4541,2
1034,1444,1482,1
1035,2028,2338,1
1036,41,106,1
1037,3566,4157,2
1038,5514,216,8
1039,5399,4115,1
1040,2347,4521,1
1041,1344,2620,-10
1042,26,1011,1
1043,5453,5435,1
1044,5269,5107,-10
1045,4624,3882,2
1046,3138,3251,4
1047,1764,1293,3
1048,19,3,1
1049,2077,5077,-10
1050,2630,1873,1
1051,5506,5521,5
1052,26,1394,10
1053,2266,2790,1
1054,4585,3819,-10
1055,1456,2587,1
1056,313,2195,1
1057,1247,26,1
1058,1083,734,1
1059,2598,26,5
1060,864,1786,3
1061,340,147,1
1062,2077,4524,-10
1063,2166,2349,1
1064,4689,4861,1
1065,896,620,2
1066,1921,1321,1
1067,2587,1685,5
1068,550,2094,7
1069,228,343,4
1070,1764,1907,1
1071,1283,600,3
1072,3573,321,3
1073,3,415,2
1074,3946,108,2
1075,2339,2125,1
1076,2166,1276,2
1077,5619,5617,10
1078,4469,4434,1
1079,2580,2831,1
1080,2955,3356,1
1081,4170,4035,3
1082,2778,2984,2
1083,2839,3424,-10
1084,697,613,1
1085,3062,4230,1
1086,258,572,5
1087,4219,4748,1
1088,323,75,3
1089,4083,2032,-10
1090,1227,1229,1
1091,26,3256,1
1092,3261,4571,-10
1093,1981,3318,1
1094,504,159,1
1095,3062,3445,1
1096,4964,26,1
1097,5869,26,1
1098,313,553,-10
1099,2036,425,1
1100,3751,1951,1
1101,4115,2778,4
1102,26,1599,1
1103,403,778,2
1104,3523,5433,2
1105,2314,977,1
1106,4051,1859,1
1107,2587,3429,2
1108,4759,3379,1
1109,4008,3910,2
1110,3250,1293,1
1111,422,1157,1
1112,3379,5134,2
1113,21,36,1
1114,1786,3659,1
1115,1021,1138,1
1116,282,163,1
1117,2293,2320,10
1118,1276,497,3
1119,3,1610,3
1120,4121,4555,-10
1121,26,1851,5
1122,2587,3339,1
1123,1469,1689,2
1124,3628,3593,1
1125,5372,4775,1
1126,408,86,6
1127,506,1315,-5
1128,2254,41,2
1129,3481,3490,10
1130,4206,5314,3
1131,3910,4427,3
1132,111,1277,2
1133,2182,2302,1
1134,413,1885,1
1135,3062,4626,1
1136,1344,1584,1
1137,588,216,1
1138,2644,2647,5
1139,3164,3128,1
1140,2587,4055,1
1141,98,3372,-1
1142,4973,5064,3
1143,26,935,1
1144,2153,321,1
1145,5511,2996,2
1146,3503,4555,1
1147,3800,4471,2
1148,1786,2020,4
1149,10,2460,1
1150,896,1234,1
1151,692,722,1
1152,11,199,4
1153,3412,2355,-10
1154,42,203,5
1155,5471,24,3
1156,1343,1342,1
1157,1276,881,2
1158,1444,1541,1
1159,2550,2672,4
1160,2850,2139,3
1161,5314,5326,1
1162,2124,26,2
1163,4299,1689,2
1164,1764,4727,-10
1165,1053,1293,2
1166,1764,4748,1
1167,5082,3646,1
1168,5592,4230,3
1169,3564,5512,1
1170,4246,3705,5
1171,2262,2171,1
1172,1291,428,1
1173,483,544,1
1174,1764,2567,-10
1175,5166,4235,9
1176,2664,2520,10
1177,4465,4092,1
1178,2028,1850,10
1179,1546,1535,2
1180,167,193,1
1181,2606,2241,1
1182,718,163,1
1183,26,3339,1
1184,1221,623,1
1185,230,742,1
1186,3573,4372,1
1187,4115,4480,2
1188,2020,2613,-10
1189,2247,2840,6
1190,592,45,1
1191,1576,2472,1
1192,153,855,5
1193,2884,5722,1
1194,2570,2949,2
1195,5433,5222,2
1196,2247,2025,2
1197,3967,2587,10
1198,2077,5295,-1
1199,2884,4315,1
1200,428,684,1
1201,97,95,1
1202,2458,1522,1
1203,3168,3264,-10
1204,506,3496,2
1205,30,3523,2
1206,546,745,1
1207,1311,864,3
1208,4413,4115,3
1209,985,867,10
1210,529,524,3
1211,2146,2405,1
1212,1425,1354,1
1213,370,159,2
1214,1512,2437,1
1215,2262,2128,1
1216,3826,1764,1
1217,3958,4403,1
1218,613,859,1
1219,4560,4843,1
1220,5513,1310,3
1221,2070,1798,3
1222,2570,3670,2
1223,4502,4316,5
1224,1794,1940,1
1225,2049,1981,2
1226,4748,4206,1
1227,3070,2587,2
1228,2587,3117,4
1229,10,1853,3
1230,343,208,1
1231,3456,4335,-10
1232,3379,1293,1
1233,884,972,1
1234,2254,864,5
1235,2323,2125,2
1236,3646,3396,1
1237,4528,993,1
1238,4296,3275,1
1239,2218,3041,-10
1240,5556,5521,4
1241,403,534,2
1242,228,161,2
1243,42,57,1
1244,2146,2125,5
1245,2580,2972,1
1246,3158,26,1
1247,1551,1571,2
1248,1967,10,1
1249,176,3623,2
1250,4451,4196,2
1251,472,469,1
1252,139,853,1
1253,1866,1733,1
1254,4293,4604,5
1255,3751,2587,10
1256,906,760,2
1257,2925,2338,2
1258,1293,1447,1
1259,2548,2547,4
1260,602,45,3
1261,586,638,1
1262,2113,1875,1
1263,2077,5123,-2
1264,326,370,-10
1265,506,4115,3
1266,1893,93,3
1267,3419,3468,1
1268,1725,10,1
1269,5505,1310,1
1270,30,99,1
1271,72,163,1
1272,3593,623,1
1273,483,439,2
1274,2851,1369,3
1275,4010,947,1
1276,109,140,1
1277,1998,3668,-10
1278,2668,163,2
1279,2077,5111,-10
1280,2020,2562,-10
1281,1276,26,3
1282,2587,3040,3
1283,3173,2354,5
1284,3209,4775,1
1285,0,1541,2
1286,2146,1459,1
1287,666,530,2
1288,4092,4781,1
1289,3043,2587,2
1290,1983,1786,2
1291,4639,1293,10
1292,3825,2953,2
1293,3837,3802,1
1294,510,4741,1
1295,26,2918,1
1296,41,5603,-1
1297,1176,993,2
1298,1981,3681,-10
1299,2669,2885,1
1300,3062,4232,1
1301,127,6,3
1302,244,16,1
1303,64,42,4
1304,4697,1144,5
1305,5521,5502,5
1306,2302,264,1
1307,2543,2537,2
1308,3170,1786,1
1309,2699,3272,1
1310,1853,2469,1
1311,4115,5444,1
1312,105,144,1
1313,1628,1624,1
1314,5200,5134,1
1315,1594,264,1
1316,3475,977,2
1317,3838,5643,1
1318,882,926,1
1319,4455,4458,-10
1320,1966,1176,5
1321,84,864,1
1322,2257,1998,1
1323,2819,346,-1
1324,106,444,1
1325,3019,1907,1
1326,2241,5314,3
1327,3555,3593,6
1328,1797,1847,2
1329,3031,2799,1
1330,2839,3668,-10
1331,734,1674,1
1332,4407,4092,3
1333,1354,1459,5
1334,2901,18,10
1335,3659,3932,1
1336,1873,3910,1
1337,4514,2545,6
1338,26,5047,1
1339,3643,4415,-10
1340,2247,1629,-10
1341,2090,1204,1
1342,264,1341,1
1343,2839,2587,3
1344,3077,2839,-10
1345,523,524,1
1346,1465,35,1
1347,1354,2166,1
1348,5125,3826,1
1349,1530,1354,3
1350,620,896,2
1351,4161,3093,1
1352,4586,4655,-10
1353,3503,2944,1
1354,1897,1853,1
1355,3668,1970,10
1356,623,1121,1
1357,3844,108,1
1358,3275,3824,2
1359,3819,4332,2
1360,1176,1438,1
1361,3848,3670,1
1362,3040,2077,1
1363,4532,4443,-10
1364,1981,2203,-10
1365,3647,3639,3
1366,1011,3062,3
1367,862,1970,1
1368,3340,1764,1
1369,2587,2294,-5
1370,3631,44,-10
1371,2020,2317,-10
1372,3819,1786,4
1373,1814,2183,1
1374,3334,26,1
1375,3430,4135,-1
1376,1850,1981,1
1377,2164,2587,2
1378,3294,3458,1
1379,4442,3546,1
1380,2919,2587,1
1381,3565,4219,3
1382,2972,2580,1
1383,1742,864,1
1384,864,2069,1
1385,2677,2941,1
1386,1176,425,1
1387,5105,1907,-10
1388,354,520,1
1389,5512,3340,1
1390,1394,26,10
1391,425,1310,1
1392,1711,1324,1
1393,4372,4596,-10
1394,1764,2574,-10
1395,3378,864,-10
1396,1086,1051,1
1397,1354,1290,-5
1398,2371,1853,1
1399,26,4681,1
1400,4092,4051,1
1401,4792,4092,3
1402,163,663,2
1403,3707,2446,-1
1404,1647,163,1
1405,3157,523,3
1406,5134,1804,1
1407,497,1012,1
1408,3838,3848,1
1409,4169,4092,4
1410,1907,4680,1
1411,594,2150,1
1412,1594,3474,1
1413,449,985,2
1414,507,222,2
1415,4092,5509,-10
1416,3288,1697,2
