,index,src,dst,rating
659,12414,1853,1711,3
660,14622,2592,2731,1
661,27467,2949,4604,2
662,30270,306,5134,1
663,29974,4471,5109,-10
664,375,117,95,4
665,16707,1697,408,10
666,1659,106,361,3
667,5834,841,606,2
668,19289,3294,2020,1
669,8313,1571,27,1
670,19263,272,3378,1
671,20594,646,3777,1
672,19506,3590,2958,1
673,8703,1276,269,4
674,20279,3722,3648,1
675,1098,147,21,1
676,12739,1354,10,3
677,9706,1905,864,1
678,14443,10,2150,5
679,24540,4216,4417,2
680,33589,2338,4296,-10
681,27096,3062,3855,1
682,33147,3910,2570,3
683,32362,5482,5349,2
684,14619,2347,2538,2
685,17192,3170,3175,2
686,28109,977,4165,5
687,16747,1998,2803,2
688,10286,1571,153,1
689,15921,2669,1981,10
690,25459,2444,2545,1
691,31587,2765,3564,4
692,22988,1568,3555,2
693,1999,490,478,1
694,19470,2031,2587,1
695,22784,3958,3643,2
696,10091,66,1456,1
697,33289,4299,1057,-2
698,2644,177,396,1
699,34878,3800,5427,1
700,26606,3716,4594,-10
701,19279,2995,2446,5
702,26960,3825,4199,1
703,31381,1907,5360,-10
704,5506,1222,497,2
705,3915,903,902,3
706,23614,2587,4307,1
707,14829,2166,1786,2
708,20374,3275,2587,1
709,6891,1434,30,1
710,18451,1310,10,-10
711,8174,1618,1240,1
712,13917,1764,1783,1
713,25385,3354,2884,1
714,28812,2204,4216,1
715,7571,1444,1584,1
716,5130,610,1148,1
717,21055,3659,3904,1
718,17687,1907,2840,-1
719,33449,5617,5619,3
720,35498,26,5868,1
721,25362,3621,4092,4
722,8237,0,1703,1
723,3305,770,28,1
724,12138,2020,1240,1
725,35244,1998,3914,1
726,6674,1176,26,5
727,21859,4060,2077,3
728,20853,2587,1521,3
729,6385,1379,377,2
730,26689,3719,4593,-10
731,12341,1797,719,-5
732,13818,2279,2150,2
733,6587,1369,1326,1
734,421,54,30,2
735,12762,2413,26,1
736,9961,1967,1444,1
737,29828,2077,5080,-10
738,30940,2974,5278,1
739,23546,3643,2338,2
740,1705,163,42,5
741,6879,1176,30,1
742,7059,1344,791,-10
743,31847,510,4115,4
744,6221,1226,1351,-10
745,25696,2545,4515,2
746,17975,2218,3306,-4
747,25666,1998,4582,-10
748,31984,1689,3497,3
749,380,118,30,1
750,12241,1981,1900,2
751,31383,5309,3379,1
752,2708,640,613,1
753,4450,973,736,10
754,21386,3536,3932,3
755,32673,3751,2338,1
756,19891,3322,3660,1
757,24071,4092,4368,1
758,29744,4466,5052,1
759,2862,650,84,1
760,3318,601,565,1
761,22913,3555,3335,3
762,16703,1697,323,3
763,7791,1571,1609,1
764,12327,1708,2150,1
765,12690,10,2128,4
766,26075,4571,4341,-10
767,32319,3631,2570,1
768,22348,3838,4089,1
769,35422,5832,5134,8
770,28576,4663,4882,2
771,19221,2110,98,10
772,15752,1853,2930,1
773,4260,977,978,1
774,17278,2387,3128,1
775,14825,2166,321,1
776,22137,4023,3659,3
777,6693,1176,1293,1
778,34722,2884,4235,2
779,9579,1725,1924,1
780,34112,3910,5181,2
781,8499,1571,1752,1
782,28559,977,4868,7
783,18776,2699,2214,1
784,560,42,159,1
785,2067,344,436,1
786,17216,1521,3170,1
787,57,27,28,1
788,17994,3281,3311,1
789,96,37,6,4
790,33421,3646,1486,1
791,35519,3800,5875,1
792,28720,3802,2972,1
793,28254,4604,4806,-10
794,24895,4115,1369,1
795,3727,721,666,5
796,21493,26,3984,1
797,3724,861,701,1
798,16649,2778,2790,2
799,17795,24,41,1
800,18496,2077,3360,2
801,35247,2016,1764,3
802,20675,3743,3437,3
803,9402,1698,1897,1
804,24125,3282,4377,2
805,35521,1310,205,-10
806,13570,264,2150,10
807,16495,1354,1689,2
808,8646,1756,1324,1
809,16910,3128,3126,1
810,18192,3156,2587,4
811,4047,684,933,2
812,12878,2020,2247,1
813,25997,1764,4592,-10
814,10624,2093,1240,1
815,75,10,6,1
816,32757,2974,3751,3
817,5819,1281,1271,1
818,6097,1329,1271,1
819,1719,376,0,1
820,31777,5411,0,1
821,26730,4583,3819,-10
822,32616,5419,18,1
823,24818,1853,4277,1
824,29288,3924,4953,1
825,18297,2727,2587,1
826,11204,1354,2145,3
827,22832,4115,3898,3
828,13426,2512,2519,1
829,8233,1702,27,1
830,35492,5825,5872,3
831,20276,3294,3728,2
832,6403,30,1357,1
833,32500,1998,5378,-1
834,31442,4829,3910,1
835,30364,35,4092,1
836,2110,217,366,3
837,16163,2993,1571,1
838,24354,2898,3759,1
839,12928,1500,2128,3
840,18318,3070,2587,2
841,35391,3523,1764,1
842,32217,5462,3800,1
843,6749,1431,26,1
844,5089,1139,791,1
845,35124,5824,35,1
846,25562,4443,4566,-10
847,29011,4092,4901,1
848,11434,2125,1742,2
849,8685,1324,1776,1
850,18341,3369,2128,1
851,21470,3753,0,2
852,13707,1993,1576,3
853,6361,1176,1377,5
854,22308,1293,10,4
855,32748,3631,5413,1
856,14229,2472,2587,1
857,4478,1022,937,2
858,5218,17,1177,6
859,12231,1853,1486,1
860,19782,3637,3154,2
861,12221,2065,2195,1
862,21272,2328,3946,1
863,1171,248,267,1
864,15446,2669,2214,1
865,15819,2937,2882,1
866,22976,4164,190,2
867,16947,3135,21,2
868,21898,4065,2953,1
869,2803,529,605,2
870,11240,1176,2189,1
871,20904,2570,3199,1
872,15053,2433,2800,1
873,1957,481,216,1
874,21204,3840,3935,1
875,11142,2125,1998,1
876,14668,1647,2676,1
877,32398,3728,5428,1
878,16040,1907,2972,1
879,31827,4045,4521,1
880,24811,153,1293,1
881,31534,4521,4109,1
882,27247,4663,2328,1
883,14240,2656,2661,3
884,23603,2953,4312,1
885,18849,2727,1764,1
886,19652,3619,3593,9
887,3477,646,806,1
888,21918,2140,4070,3
889,23703,3738,3751,1
890,17855,2526,1310,3
891,30689,3573,5134,1
892,24194,4206,1840,1
893,587,171,6,1
894,33029,1310,5388,2
895,32265,2778,1354,2
896,9438,1276,1144,4
897,12757,1344,1783,1
898,5226,1121,1161,1
899,12939,2173,26,1
900,9414,1898,26,1
901,394,121,42,1
902,17301,1230,2766,-5
903,24609,4434,4200,1
904,24568,2884,4348,1
905,28989,4933,2083,1
906,28924,2876,4930,1
907,4505,791,965,1
908,11652,1981,2230,1
909,7495,30,1344,8
910,24751,2077,2354,1
911,13409,2513,2512,8
912,19758,3636,2953,1
913,23398,4281,2720,10
914,8046,1498,1522,2
915,32880,5552,5496,1
916,15654,2126,2117,1
917,24434,2884,4427,10
918,16781,1981,1844,3
919,30121,1685,30,1
920,8107,1422,734,3
921,28120,4806,4798,1
922,25517,4559,355,1
923,7190,1508,75,3
924,4173,428,691,2
925,13125,2467,1981,2
926,28957,2273,3696,1
927,14725,2727,1708,1
928,18396,2587,3320,2
929,7618,1594,1321,1
930,31093,5314,3638,3
931,19664,3549,3622,1
932,8102,1628,1293,2
933,9484,1853,1629,1
934,18238,2247,3337,-1
935,25007,3958,4492,1
936,14578,2557,2592,2
937,26448,3710,4611,-10
938,3789,874,871,5
939,241,72,6,4
940,10581,453,2087,1
941,6568,1157,1160,1
942,3936,163,907,1
943,3636,507,551,2
944,3980,6,93,4
945,34034,5700,5682,2
946,30008,2077,5108,-10
947,6496,30,1393,1
948,34310,5134,5731,1
949,12249,2269,1804,2
950,10972,2117,688,1
951,27056,3062,3869,1
952,1157,0,101,2
953,6936,734,1419,1
954,12429,2347,2355,1
955,1527,282,26,1
956,14327,1981,2150,5
957,16575,2903,190,5
958,29172,4115,4921,1
959,10959,2093,1303,2
960,14823,2166,1276,2
961,13575,26,2541,1
962,34053,4299,98,1
963,18579,1576,3377,2
964,2984,692,6,3
965,33438,3910,4775,3
966,20443,2637,3335,-1
967,5490,285,188,1
968,3406,3,497,1
969,4224,867,882,1
970,15607,2804,2580,1
971,22639,3736,4162,5
972,33943,3646,5687,1
973,8821,1707,1456,5
974,3879,893,195,1
975,6753,1144,1276,2
976,1480,280,403,2
977,22153,3150,4107,4
978,5959,1121,625,1
979,33521,5625,5479,1
980,34427,4430,1998,2
981,14962,2738,2677,1
982,10507,1997,1875,2
983,27726,3100,4466,1
984,16840,3523,2128,2
985,18924,1585,3471,1
986,2148,461,159,1
987,9671,1163,6,1
988,19493,321,2570,2
989,12127,2315,2247,1
990,1586,427,428,1
991,19572,977,800,1
992,14664,2727,2592,4
993,23112,1764,2955,3
994,13248,1853,2306,2
995,2142,217,401,4
996,32038,5064,505,1
997,29036,84,4170,2
998,20009,3679,3593,5
999,21823,3902,4034,1
1000,4602,719,1043,5
1001,34525,1998,2342,2
1002,11130,594,1512,1
1003,7142,1495,1311,1
1004,9623,864,1306,3
1005,21036,2006,3899,1
1006,9297,1875,1848,1
1007,28196,2077,4820,-1
1008,19740,977,2077,3
1009,16370,1907,3027,1
1010,18743,506,2338,2
1011,21584,2839,3831,2
1012,15747,1907,2929,1
1013,21539,69,1610,3
1014,1032,32,275,1
1015,21293,3953,1764,1
1016,10380,2045,1981,1
1017,5313,853,310,2
1018,22837,4191,3838,1
1019,33323,2472,5,1
1020,3718,187,233,1
1021,16717,2718,3079,1
1022,21181,3199,3929,1
1023,4418,794,902,1
1024,11592,2242,1804,1
1025,11234,2093,896,1
1026,16794,2703,1764,2
1027,18366,1485,1689,2
1028,18111,510,1981,1
1029,10509,2037,2020,1
1030,5522,98,1236,-10
1031,27876,2884,4787,3
1032,1963,356,486,1
1033,12067,1521,506,3
1034,20404,3740,108,2
1035,25553,4434,4216,2
1036,7235,1514,26,1
1037,15486,2218,15,-5
1038,33076,5444,2974,1
1039,16179,26,2997,1
1040,19661,1981,2020,7
1041,24855,4150,4115,1
1042,23445,1360,3647,2
1043,11851,2020,1459,1
1044,1550,26,313,1
1045,24682,4092,2710,2
1046,19845,26,2381,2
1047,19368,3135,2009,1
1048,16954,3136,977,1
1049,10287,1571,3,1
1050,9875,1732,1814,3
1051,1891,0,454,1
1052,1839,347,230,1
1053,14138,1310,1486,1
1054,18958,3139,2587,3
1055,21742,4035,4034,3
1056,32443,5494,3564,3
1057,18513,1277,3399,-10
1058,33752,3910,44,-5
1059,29212,2587,4413,2
1060,2231,532,530,1
1061,8488,1204,1698,1
1062,1144,30,317,2
1063,3140,6,318,3
1064,31226,5331,3910,4
1065,31063,2077,5311,-2
1066,18935,2744,3473,1
1067,26899,4314,4413,4
1068,15465,83,2477,1
1069,5764,412,1012,1
1070,25411,323,4549,10
1071,34334,5729,26,1
1072,23424,1764,2720,1
1073,12154,2319,264,4
1074,16149,1571,2991,1
1075,4756,452,1076,1
1076,21471,3659,3979,1
1077,25398,4473,313,1
1078,4295,685,985,1
1079,15080,2247,2570,1
1080,114,6,15,4
1081,7963,69,66,2
1082,2641,612,106,1
1083,7603,1354,1430,3
1084,18365,1981,1773,1
1085,2825,660,483,1
1086,6299,841,1166,10
1087,17125,139,1354,3
1088,3677,850,21,1
1089,7076,1444,1482,1
1090,13543,506,2530,1
1091,11737,2002,2261,2
1092,6374,1334,623,2
1093,34279,1521,3378,3
1094,4625,230,791,-10
1095,25017,2545,4495,1
1096,7331,1536,1519,1
1097,31858,2765,1689,4
1098,9787,1568,1275,1
1099,20849,3826,3825,1
1100,19852,497,2876,1
1101,19698,2587,3626,1
